"Gamma","C","Accuracy"
1e-04,0.01,0.435548262886147
0.001,0.01,0.435548262886147
0.01,0.01,0.435548262886147
0.1,0.01,0.435548262886147
1,0.01,0.435548262886147
10,0.01,0.435548262886147
100,0.01,0.435548262886147
1e-04,0.1,0.435548262886147
0.001,0.1,0.435548262886147
0.01,0.1,0.456548817129022
0.1,0.1,0.548406405880809
1,0.1,0.492403663837111
10,0.1,0.441011930807153
100,0.1,0.435548262886147
1e-04,1,0.435548262886147
0.001,1,0.460988302558268
0.01,1,0.552846474723608
0.1,1,0.588013185146291
1,1,0.567187654969225
10,1,0.506064583880284
100,1,0.475846095504799
1e-04,10,0.460988010851492
0.001,10,0.54755228843966
0.01,10,0.573334791867215
0.1,10,0.599110790233657
1,10,0.546521104985269
10,10,0.500425891893469
100,10,0.473284618301683
1e-04,100,0.548405822467256
0.001,100,0.564463405384907
0.01,100,0.588871094775532
0.1,100,0.576575070738893
1,100,0.520401680231032
10,100,0.491037892710248
100,100,0.471235378197836
1e-04,1000,0.558997987223243
0.001,1000,0.579992123917039
0.01,1000,0.593476269653744
0.1,1000,0.556261777661095
1,1000,0.504867710976926
10,1000,0.492574312301275
100,1000,0.471235378197836
1e-04,10000,0.561047227327091
0.001,10000,0.590235990782066
0.01,10000,0.58357165776961
0.1,10000,0.531161284676643
1,10000,0.497182695954027
10,10000,0.491207374347306
100,10000,0.471235378197836
1e-04,1e+05,0.582039905487004
0.001,1e+05,0.589381289927365
0.01,1e+05,0.567869957119104
0.1,1e+05,0.51664566377877
1,1e+05,0.49359878649981
10,1e+05,0.490866077418978
100,1e+05,0.471235378197836
1e-04,1e+06,0.590401680231032
0.001,1e+06,0.58493772060325
0.01,1e+06,0.553871824042472
0.1,1e+06,0.501283509815933
1,1e+06,0.489158717657011
10,1e+06,0.491720486566903
100,1e+06,0.471235378197836
1e-04,1e+07,0.577262915317523
0.001,1e+07,0.549764884338263
0.01,1e+07,0.509983664420524
0.1,1e+07,0.455700533823401
1,1e+07,0.486250109390041
10,1e+07,0.490696887488696
100,1e+07,0.471235378197836
